IBXX - Carteira do Dia 12/11/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;502.481.592;0,487;
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,050;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,450;
AMBP3;AMBIPAR;ON      NM;41.041.780;0,302;
ASAI3;ASSAI;ON      NM;1.349.687.675;0,426;
AURE3;AUREN;ON      NM;291.727.616;0,130;
AZUL4;AZUL;PN      N2;328.421.113;0,074;
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,230;
B3SA3;B3;ON      NM;5.511.401.013;2,495;
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;0,971;
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,793;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;3,077;
BRAP4;BRADESPAR;PN      N1;250.969.312;0,213;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,295;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,186;
BRAV3;BRAVA;ON      NM;463.981.130;0,332;
BRFS3;BRF SA;ON      NM;814.523.002;0,879;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;1,927;
CXSE3;CAIXA SEGURI;ON  ED  NM;517.500.000;0,329;
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,166;
CCRO3;CCR SA;ON  ED  NM;991.920.937;0,522;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,953;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,123;
CSMG3;COPASA;ON      NM;188.462.398;0,204;
CPLE3;COPEL;ON      N2;1.300.330.190;0,487;
CPLE6;COPEL;PNB     N2;1.679.233.590;0,709;
CSAN3;COSAN;ON      NM;1.165.337.843;0,604;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,270;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,286;
CURY3;CURY S/A;ON      NM;133.117.425;0,135;
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,049;
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,257;
DXCO3;DEXCO;ON      NM;301.760.723;0,106;
DIRR3;DIRECIONAL;ON      NM;109.826.474;0,150;
ECOR3;ECORODOVIAS;ON      NM;334.032.615;0,101;
ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,158;
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,486;
EMBR3;EMBRAER;ON      NM;734.632.601;1,822;
ENGI11;ENERGISA;UNT     N2;326.175.300;0,599;
ENEV3;ENEVA;ON      NM;1.808.392.799;0,993;
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,448;
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;1,739;
EZTC3;EZTEC;ON  ED  NM;97.334.950;0,062;
FLRY3;FLEURY;ON      NM;464.420.650;0,289;
GGBR4;GERDAU;PN      N1;1.242.683.687;1,132;
GOAU4;GERDAU MET;PN      N1;661.577.619;0,338;
GGPS3;GPS;ON      NM;395.604.037;0,295;
GMAT3;GRUPO MATEUS;ON  EJS NM;472.822.015;0,157;
NTCO3;GRUPO NATURA;ON      NM;849.350.756;0,542;
HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,675;
HYPE3;HYPERA;ON      NM;409.310.634;0,382;
IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,191;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,154;
ITSA4;ITAUSA;PN      N1;5.504.638.590;2,612;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.791.715.383;7,500;
JBSS3;JBS;ON      NM;1.142.696.472;1,792;
KLBN11;KLABIN S/A;UNT EJ  N2;765.785.673;0,699;
RENT3;LOCALIZA;ON      NM;977.700.485;1,855;
LREN3;LOJAS RENNER;ON      NM;952.487.418;0,711;
LWSA3;LWSA;ON      NM;420.626.825;0,080;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,148;
POMO4;MARCOPOLO;PN      N2;666.378.439;0,268;
MRFG3;MARFRIG;ON      NM;302.019.876;0,207;
BEEF3;MINERVA;ON      NM;261.359.935;0,063;
MOVI3;MOVIDA;ON      NM;121.834.637;0,035;
MRVE3;MRV;ON      NM;375.335.828;0,119;
MULT3;MULTIPLAN;ON      N2;318.010.631;0,347;
PCAR3;P.ACUCAR-CBD;ON  ATZ NM;379.327.171;0,050;
PETR3;PETROBRAS;ON      N2;3.514.947.134;6,131;
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,158;
RECV3;PETRORECSA;ON      NM;275.699.226;0,227;
PRIO3;PETRORIO;ON      NM;798.909.771;1,400;
PETZ3;PETZ;ON      NM;307.729.428;0,068;
PSSA3;PORTO SEGURO;ON      NM;182.560.698;0,314;
RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,452;
RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,143;
RDOR3;REDE D OR;ON      NM;1.145.289.019;1,461;
